                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01047,                 11.643,                 1.9342,                0.65563,                0.54358,                0.56394,                0.30418,                0.00774,                  6.894,                 1.1903,             0.00014795,             0.00014795,             0.00014795
                      2,                0.00893,                 8.4592,                 1.4731,                0.68247,                0.55633,                0.60595,                0.30101,                0.00935,                 6.8891,                 1.3161,             0.00029743,             0.00029743,             0.00029743
                      3,                 0.0086,                 8.0354,                 1.4542,                 0.6841,                 0.5772,                0.62371,                0.30406,                0.00967,                 6.6194,                 1.3485,              0.0004463,              0.0004463,              0.0004463
                      4,                0.00853,                 8.2758,                 1.4439,                0.65209,                0.53882,                0.57301,                0.28194,                0.00974,                 7.0312,                 1.3607,             0.00059455,             0.00059455,             0.00059455
                      5,                 0.0083,                 7.7532,                 1.3954,                0.60562,                 0.5724,                0.59039,                 0.2832,                0.00963,                  7.047,                 1.3686,             0.00070817,             0.00070817,             0.00070817
                      6,                0.00823,                 7.9746,                 1.3978,                 0.6453,                 0.5667,                  0.598,                0.29989,                0.00946,                 6.5896,                 1.3688,             0.00070671,             0.00070671,             0.00070671
                      7,                0.00799,                 7.5427,                 1.3759,                0.64864,                 0.5535,                0.56642,                0.26282,                0.01018,                 7.0096,                 1.4124,             0.00070526,             0.00070526,             0.00070526
                      8,                0.00835,                 7.9473,                 1.4247,                0.66497,                 0.5306,                0.60694,                0.28414,                0.01008,                  6.605,                 1.4221,              0.0007038,              0.0007038,              0.0007038
                      9,                0.00815,                 7.3716,                 1.3824,                0.65022,                0.53778,                0.59606,                0.28277,                0.00993,                 6.9874,                 1.4385,             0.00070234,             0.00070234,             0.00070234
                     10,                0.00799,                 7.1999,                 1.3619,                0.63029,                0.55762,                0.58201,                 0.2912,                0.00938,                 6.8399,                 1.3621,             0.00070088,             0.00070088,             0.00070088
                     11,                0.00812,                 7.3219,                 1.4233,                0.68657,                0.51265,                0.57717,                0.28172,                0.00963,                 6.5254,                 1.3872,             0.00069943,             0.00069943,             0.00069943
                     12,                0.00801,                 7.6448,                 1.3718,                0.66502,                0.53994,                0.59748,                0.30094,                0.00915,                 6.9551,                  1.344,             0.00069797,             0.00069797,             0.00069797
                     13,                0.00803,                 7.2063,                 1.3536,                0.64714,                0.56078,                0.59205,                0.29704,                 0.0093,                 6.8884,                 1.3568,             0.00069651,             0.00069651,             0.00069651
                     14,                0.00815,                 7.1607,                 1.3629,                0.63763,                0.55072,                0.58564,                0.26919,                   0.01,                 7.1681,                 1.4018,             0.00069505,             0.00069505,             0.00069505
                     15,                0.00809,                 7.1822,                  1.395,                0.64797,                0.52146,                0.57733,                 0.2607,                0.00999,                 7.0026,                 1.3877,              0.0006936,              0.0006936,              0.0006936
                     16,                0.00795,                 7.1492,                 1.3766,                0.58001,                0.55496,                0.56633,                0.26054,                0.01012,                 7.4426,                 1.4233,             0.00069214,             0.00069214,             0.00069214
                     17,                0.00811,                 6.9772,                 1.3942,                0.65606,                0.55688,                0.58387,                 0.2644,                 0.0102,                 6.7894,                  1.445,             0.00069068,             0.00069068,             0.00069068
                     18,                0.00803,                 7.2237,                 1.3582,                0.60617,                 0.5835,                0.58642,                0.26393,                0.01042,                 7.2295,                  1.469,             0.00068922,             0.00068922,             0.00068922
                     19,                0.00789,                 7.0001,                 1.3447,                0.62159,                0.54675,                0.56821,                0.28078,                0.00939,                 6.7963,                 1.3471,             0.00068777,             0.00068777,             0.00068777
                     20,                0.00769,                 6.9372,                 1.3573,                0.60378,                0.54828,                0.55092,                 0.2674,                0.00939,                 7.1312,                 1.3595,             0.00068631,             0.00068631,             0.00068631
                     21,                0.00793,                 7.1467,                 1.3677,                0.67382,                0.55635,                0.59718,                0.27913,                0.01019,                 7.0198,                 1.4366,             0.00068485,             0.00068485,             0.00068485
