                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01183,                 10.705,                  2.406,                  0.642,                0.51892,                0.53161,                0.28117,                0.00681,                 3.9993,                 1.2081,             0.00016814,             0.00016814,             0.00016814
                      2,                0.00987,                 7.2405,                 1.7928,                0.57478,                0.49017,                  0.492,                0.18261,                0.01028,                 5.2722,                  1.587,             0.00033843,             0.00033843,             0.00033843
                      3,                0.00909,                 6.5184,                 1.6915,                0.60061,                0.51285,                0.52653,                0.20035,                0.01008,                  5.307,                 1.5666,             0.00050842,             0.00050842,             0.00050842
                      4,                0.00913,                 6.7325,                 1.7382,                0.66887,                0.52879,                0.56122,                0.21932,                 0.0097,                 5.0939,                  1.529,             0.00067811,             0.00067811,             0.00067811
                      5,                0.00849,                  6.579,                 1.6427,                0.58369,                0.48905,                0.51897,                0.18577,                0.01028,                 5.2585,                 1.6157,             0.00071151,             0.00071151,             0.00071151
                      6,                0.00832,                 6.2482,                 1.6166,                0.58665,                0.54431,                0.54572,                0.21599,                0.00982,                 4.8363,                 1.6024,             0.00071089,             0.00071089,             0.00071089
                      7,                0.00824,                  5.986,                 1.6302,                0.57628,                0.52078,                0.51487,                0.18394,                0.01044,                  4.663,                 1.6777,             0.00071027,             0.00071027,             0.00071027
                      8,                0.00845,                 6.2208,                 1.6066,                0.62176,                0.51732,                0.56848,                0.22621,                0.00945,                 4.5484,                 1.5095,             0.00070965,             0.00070965,             0.00070965
                      9,                 0.0084,                 6.1245,                 1.6013,                0.61632,                0.52558,                0.53833,                 0.2046,                0.01004,                 4.6299,                 1.6328,             0.00070903,             0.00070903,             0.00070903
                     10,                0.00816,                 5.9387,                 1.5845,                0.62888,                0.50027,                 0.5408,                0.20787,                0.01013,                 4.8869,                 1.6244,              0.0007084,              0.0007084,              0.0007084
                     11,                0.00809,                 5.8683,                 1.5837,                0.60909,                0.53707,                0.56376,                0.22514,                0.00945,                 4.2969,                 1.5333,             0.00070778,             0.00070778,             0.00070778
                     12,                0.00785,                  5.585,                 1.5287,                0.63258,                0.50744,                0.53299,                0.20459,                0.00989,                 4.3923,                 1.6232,             0.00070716,             0.00070716,             0.00070716
                     13,                0.00806,                 5.7544,                 1.5557,                0.61558,                0.51645,                0.54094,                0.20413,                0.00987,                 4.7494,                 1.6338,             0.00070654,             0.00070654,             0.00070654
                     14,                 0.0077,                 5.7865,                 1.4861,                0.62917,                0.52618,                0.55974,                0.21987,                0.00967,                 4.9406,                 1.6013,             0.00070592,             0.00070592,             0.00070592
                     15,                0.00788,                  5.534,                 1.4721,                0.61531,                0.51172,                0.55457,                  0.215,                0.00972,                 4.4637,                  1.604,             0.00070529,             0.00070529,             0.00070529
                     16,                 0.0079,                 5.6365,                 1.5205,                0.60462,                0.52102,                 0.5458,                0.21425,                0.00968,                 4.4181,                  1.593,             0.00070467,             0.00070467,             0.00070467
                     17,                0.00792,                 5.3964,                 1.5427,                0.58319,                0.53623,                0.54517,                0.20958,                0.00984,                 4.5611,                 1.6459,             0.00070405,             0.00070405,             0.00070405
                     18,                0.00787,                 5.7221,                 1.5597,                0.63483,                0.48138,                0.51877,                0.20672,                0.00968,                 4.7242,                 1.6003,             0.00070343,             0.00070343,             0.00070343
                     19,                0.00775,                  5.587,                 1.5434,                0.60316,                0.52324,                0.54742,                0.22946,                0.00921,                 4.4988,                 1.5434,             0.00070281,             0.00070281,             0.00070281
                     20,                0.00759,                 5.3493,                 1.5158,                 0.6383,                0.51998,                 0.5598,                0.23917,                0.00904,                 4.2693,                 1.5201,             0.00070219,             0.00070219,             0.00070219
                     21,                0.00766,                 5.3464,                 1.5471,                0.60822,                0.51976,                0.54887,                0.22023,                0.00947,                 4.5131,                 1.5724,             0.00070156,             0.00070156,             0.00070156
                     22,                0.00781,                 5.2714,                 1.5137,                0.56849,                0.51858,                0.52821,                0.21834,                0.00947,                 4.3503,                 1.5786,             0.00070094,             0.00070094,             0.00070094
                     23,                0.00759,                 5.4464,                 1.4871,                 0.5916,                 0.5022,                 0.5227,                0.18098,                 0.0105,                 4.6269,                 1.7321,             0.00070032,             0.00070032,             0.00070032
                     24,                0.00768,                 5.3986,                 1.5168,                0.62474,                0.52915,                0.56764,                 0.2337,                0.00942,                 4.4508,                 1.5748,              0.0006997,              0.0006997,              0.0006997
                     25,                0.00752,                  5.332,                 1.5109,                0.64849,                0.53128,                0.58241,                0.26475,                0.00855,                 4.2635,                 1.4601,             0.00069908,             0.00069908,             0.00069908
                     26,                0.00745,                 5.3355,                 1.4884,                0.63259,                 0.5403,                0.58128,                0.24264,                0.00922,                 4.2737,                 1.5522,             0.00069845,             0.00069845,             0.00069845
                     27,                0.00744,                 5.3238,                 1.4451,                  0.621,                0.55884,                0.58874,                 0.2685,                0.00863,                 3.9655,                 1.4943,             0.00069783,             0.00069783,             0.00069783
                     28,                0.00738,                 5.4262,                 1.4775,                0.66422,                0.48634,                0.56319,                 0.2316,                 0.0096,                 4.4235,                 1.6349,             0.00069721,             0.00069721,             0.00069721
                     29,                0.00767,                 5.3972,                 1.5064,                0.64468,                0.51969,                0.56782,                0.23304,                0.00946,                 4.2264,                 1.5941,             0.00069659,             0.00069659,             0.00069659
                     30,                 0.0073,                 4.9333,                 1.4625,                0.67838,                0.50411,                0.57443,                0.25097,                0.00911,                 4.7495,                 1.5904,             0.00069597,             0.00069597,             0.00069597
                     31,                0.00741,                  4.946,                 1.4291,                0.63929,                 0.5157,                0.56405,                0.23974,                0.00921,                 4.4857,                 1.5695,             0.00069534,             0.00069534,             0.00069534
