                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1946,                 1.8843,                 1.1071,                0.34726,                0.35376,                0.29429,                0.16998,                 1.3715,                 1.8029,                 1.2587,              0.0002346,              0.0002346,              0.0002346
                      2,                 1.2943,                 1.4729,                 1.1847,                0.00078,                0.01681,                 0.0004,                0.00012,                    nan,                    nan,                    nan,             0.00046873,             0.00046873,             0.00046873
                      3,                 1.4762,                 1.5575,                 1.3028,                0.83477,                0.15472,                0.21693,                0.11211,                 1.5785,                 3.2039,                 1.5197,             0.00070335,             0.00070335,             0.00070335
                      4,                 1.4472,                 1.5513,                 1.2638,                0.22807,                0.40856,                 0.2055,                0.10556,                  1.485,                 3.0981,                 1.3884,             0.00070524,             0.00070524,             0.00070524
                      5,                 1.4342,                 1.5367,                 1.2816,                0.16134,                0.16494,                0.07063,                0.03099,                 2.9491,                  3.213,                 2.2255,             0.00070379,             0.00070379,             0.00070379
                      6,                 1.3829,                 1.4746,                 1.2177,                0.32782,                0.31082,                0.23382,                0.11432,                    nan,                    nan,                    nan,             0.00070237,             0.00070237,             0.00070237
                      7,                 1.3203,                 1.3582,                 1.2129,                 0.2872,                0.32692,                0.25545,                0.14625,                 1.3398,                  14.87,                  1.258,             0.00070099,             0.00070099,             0.00070099
                      8,                 1.3179,                 1.3418,                  1.217,                0.31505,                0.44312,                0.33812,                0.19358,                 1.2969,                 1.4286,                 1.2128,             0.00069957,             0.00069957,             0.00069957
                      9,                 1.3368,                 1.4103,                 1.2363,                0.44218,                 0.4475,                0.39487,                0.23508,                 1.2845,                 1.2505,                 1.1866,             0.00069812,             0.00069812,             0.00069812
                     10,                 1.2792,                 1.2201,                 1.1755,                0.43369,                0.40597,                0.37519,                0.22844,                 1.2437,                 1.2669,                 1.1805,             0.00069671,             0.00069671,             0.00069671
                     11,                 1.2706,                 1.2539,                 1.2061,                0.47015,                0.42475,                0.39005,                0.22409,                 1.2851,                 1.3852,                 1.1987,              0.0006953,              0.0006953,              0.0006953
                     12,                 1.1978,                 1.1875,                 1.1604,                0.44319,                0.48375,                0.43921,                0.26105,                 1.2026,                 1.1722,                  1.161,             0.00069386,             0.00069386,             0.00069386
                     13,                 1.1904,                 1.1932,                 1.1499,                0.44992,                0.53767,                 0.4528,                0.26867,                  1.192,                 1.1289,                 1.1514,             0.00069247,             0.00069247,             0.00069247
                     14,                 1.2041,                 1.2049,                 1.1453,                0.38776,                0.48078,                0.41886,                0.24641,                 1.2305,                 1.2439,                 1.1646,             0.00069103,             0.00069103,             0.00069103
                     15,                 1.2241,                 1.1551,                 1.1658,                0.45819,                0.50804,                0.46661,                0.27416,                 1.2066,                 1.0978,                 1.1416,             0.00068963,             0.00068963,             0.00068963
                     16,                 1.1904,                 1.1707,                 1.1274,                0.45082,                 0.4932,                0.46101,                0.27231,                 1.2283,                 1.1547,                 1.1458,              0.0006882,              0.0006882,              0.0006882
                     17,                 1.1614,                 1.0714,                 1.1356,                0.51747,                0.48615,                0.47674,                0.28992,                 1.1636,                 1.1148,                 1.1374,             0.00068681,             0.00068681,             0.00068681
                     18,                 1.2712,                 1.1561,                 1.1725,                0.48764,                0.50951,                0.47048,                0.27803,                 1.1599,                  1.128,                 1.1155,             0.00068532,             0.00068532,             0.00068532
                     19,                 1.1412,                 1.1101,                 1.1406,                0.53179,                0.50475,                0.48082,                0.29275,                 1.1687,                 1.0904,                 1.1216,             0.00068392,             0.00068392,             0.00068392
                     20,                 1.1356,                 1.2802,                 1.1612,                0.53179,                0.43796,                0.44115,                0.26994,                 1.2151,                 1.1416,                 1.1696,             0.00068247,             0.00068247,             0.00068247
                     21,                 1.1236,                  1.093,                 1.1234,                0.48897,                0.48447,                0.43833,                0.26177,                 1.1366,                 1.1493,                 1.1142,             0.00068105,             0.00068105,             0.00068105
                     22,                 1.0926,                 1.0857,                 1.1128,                0.54889,                0.49888,                0.50598,                0.30374,                 1.1667,                 1.0863,                 1.1474,             0.00067964,             0.00067964,             0.00067964
                     23,                   1.15,                  1.112,                 1.1146,                0.50899,                0.52837,                0.52081,                0.31744,                 1.1386,                 1.0152,                 1.1088,             0.00067825,             0.00067825,             0.00067825
                     24,                 1.1005,                0.98213,                 1.0527,                0.58177,                0.49233,                0.50332,                0.31469,                 1.1455,                 1.0526,                 1.1326,              0.0006768,              0.0006768,              0.0006768
                     25,                 1.0783,                  1.076,                 1.1476,                  0.537,                0.48545,                0.49179,                0.29124,                 1.1533,                 1.1073,                 1.1264,             0.00067544,             0.00067544,             0.00067544
