Class ID,Class Name,Precision,Recall,mAP@0.5,mAP@0.5:0.95
0,moving-bicycle,1.0,0.0,0.995,0.8955
1,moving-bus,0.0,0.0,0.09045454545454545,0.009045454545454546
2,moving-car,0.24073331290320185,0.5806451612903226,0.32115559559825785,0.1655925680581699
3,moving-heavy-truck,1.0,0.0,0.595,0.41831818181818187
4,moving-light-truck,0.12024297056572189,1.0,0.4814247311827957,0.3896835868666163
5,moving-motorcycle,0.0,0.0,0.0,0.0
8,stationary-bicycle-offstreet,0.2426147802540716,0.8048780487804879,0.42516695829932905,0.20038653460664202
9,stationary-bicycle-onstreet,0.426413993779602,0.8466666666666667,0.7698848941652671,0.5489348354479933
12,stationary-car-offstreet,0.0,0.0,0.024875,0.012082142857142856
13,stationary-car-onstreet,0.23561132538593355,0.4375,0.3007501972978905,0.21364045387378092
15,stationary-heavy-truck-offstreet,1.0,0.0,0.07643333333333334,0.04206333333333332
