Actual,moving-car,moving-heavy-truck,moving-light-truck,stationary-car-offstreet,stationary-car-onstreet,stationary-heavy-truck-offstreet,stationary-heavy-truck-onstreet,stationary-light-truck-offstreet,stationary-light-truck-onstreet,background
moving-car,53.0,0.0,4.0,6.0,15.0,0.0,0.0,1.0,1.0,7.0
moving-heavy-truck,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moving-light-truck,2.0,0.0,13.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
stationary-car-offstreet,2.0,0.0,0.0,59.0,6.0,0.0,0.0,2.0,0.0,6.0
stationary-car-onstreet,26.0,0.0,2.0,17.0,497.0,0.0,1.0,0.0,18.0,41.0
stationary-heavy-truck-offstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary-heavy-truck-onstreet,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
stationary-light-truck-offstreet,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stationary-light-truck-onstreet,0.0,3.0,7.0,0.0,5.0,0.0,1.0,2.0,28.0,6.0
background,75.0,13.0,19.0,74.0,163.0,1.0,4.0,7.0,23.0,0.0
