                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1798,                 2.2133,                 1.0988,                0.30412,                0.18994,                0.15203,                0.09369,                 1.2822,                 1.8414,                 1.1766,              0.0002346,              0.0002346,              0.0002346
                      2,                 1.3058,                 1.6359,                 1.1885,                0.32714,                0.17737,                0.09662,                0.05629,                 1.5331,                 4.0875,                 1.4481,             0.00047079,             0.00047079,             0.00047079
                      3,                 1.4757,                 1.7806,                 1.2802,                0.16839,                0.16353,                0.06011,                0.03051,                 1.7775,                 4.3833,                 1.5967,              0.0007062,              0.0007062,              0.0007062
                      4,                 1.4866,                 1.8283,                  1.286,                0.10228,                0.17459,                0.08521,                 0.0456,                 1.4589,                 2.9498,                 1.3872,             0.00070803,             0.00070803,             0.00070803
                      5,                  1.431,                 1.6999,                 1.2684,                0.10227,                0.22609,                0.05865,                0.02995,                 1.5246,                    inf,                 1.4302,             0.00070646,             0.00070646,             0.00070646
                      6,                 1.4055,                 1.7445,                 1.2168,                0.32728,                0.15362,                0.09898,                0.05267,                 1.6307,                 2.0916,                 1.4073,             0.00070494,             0.00070494,             0.00070494
                      7,                  1.302,                 1.5705,                 1.1887,                0.26852,                0.22141,                0.16313,                0.09205,                 1.3007,                 1.7634,                 1.2149,             0.00070345,             0.00070345,             0.00070345
                      8,                 1.3023,                  1.547,                 1.2229,                0.48049,                0.24479,                0.18315,                0.10507,                 1.3001,                 1.5523,                 1.1991,             0.00070196,             0.00070196,             0.00070196
                      9,                 1.3196,                 1.5862,                 1.2225,                0.41647,                0.18652,                0.14444,                0.07874,                 1.4373,                 1.7426,                 1.2695,             0.00070047,             0.00070047,             0.00070047
                     10,                 1.2941,                 1.3907,                   1.19,                 0.3318,                0.19555,                0.17459,                0.10465,                 1.2708,                 1.4284,                 1.1981,             0.00069896,             0.00069896,             0.00069896
                     11,                 1.2562,                 1.4423,                 1.2062,                0.28451,                0.22211,                0.15243,                0.08792,                 1.3213,                 1.6688,                 1.2249,             0.00069745,             0.00069745,             0.00069745
                     12,                  1.224,                  1.376,                 1.1843,                 0.3577,                0.26796,                0.20498,                0.12595,                 1.2277,                 1.4061,                 1.1773,             0.00069592,             0.00069592,             0.00069592
                     13,                 1.2011,                 1.3574,                 1.1641,                0.35719,                0.26642,                0.22024,                0.12965,                 1.2377,                 1.3509,                 1.1755,             0.00069437,             0.00069437,             0.00069437
                     14,                 1.2245,                 1.3884,                 1.1531,                0.39646,                0.25415,                0.21138,                0.12464,                 1.2684,                 1.4369,                 1.1792,             0.00069283,             0.00069283,             0.00069283
                     15,                 1.2467,                 1.3156,                 1.1665,                0.37316,                0.29536,                0.24084,                0.14787,                 1.1803,                 1.2867,                 1.1426,              0.0006913,              0.0006913,              0.0006913
                     16,                 1.2111,                 1.3379,                 1.1569,                0.38936,                0.28929,                0.23766,                0.14222,                 1.2394,                 1.3095,                   1.16,             0.00068968,             0.00068968,             0.00068968
                     17,                 1.1577,                 1.2497,                 1.1285,                0.36756,                 0.3154,                0.26056,                0.15483,                 1.1948,                 1.2627,                 1.1619,             0.00068812,             0.00068812,             0.00068812
                     18,                 1.2547,                 1.3282,                 1.1664,                0.37888,                0.30379,                0.23699,                0.14838,                 1.1649,                 1.3212,                 1.1396,              0.0006865,              0.0006865,              0.0006865
                     19,                 1.1218,                 1.2948,                  1.124,                0.62931,                0.25866,                0.25891,                0.16206,                 1.1951,                 1.2523,                 1.1448,             0.00068495,             0.00068495,             0.00068495
                     20,                  1.122,                 1.3757,                 1.1386,                0.41476,                0.26735,                0.26195,                0.16104,                 1.1342,                 1.2248,                 1.1156,             0.00068334,             0.00068334,             0.00068334
                     21,                 1.1141,                  1.288,                 1.1146,                0.43364,                0.31094,                0.27487,                0.17299,                 1.1259,                  1.173,                  1.102,              0.0006818,              0.0006818,              0.0006818
                     22,                 1.0854,                  1.259,                 1.0949,                0.37639,                0.31306,                0.25934,                0.16293,                  1.129,                 1.1886,                 1.1084,             0.00068019,             0.00068019,             0.00068019
                     23,                 1.1827,                 1.2932,                 1.1317,                0.49742,                0.29771,                0.26833,                0.16575,                 1.1851,                 1.2539,                 1.1396,             0.00067858,             0.00067858,             0.00067858
                     24,                 1.1232,                 1.1844,                 1.0756,                0.43686,                 0.2487,                0.26768,                 0.1665,                 1.1483,                 1.3734,                 1.1398,             0.00067697,             0.00067697,             0.00067697
                     25,                 1.0484,                 1.2904,                 1.1266,                0.44374,                0.33254,                0.30139,                0.18598,                 1.1303,                 1.2551,                 1.1146,             0.00067536,             0.00067536,             0.00067536
                     26,                 1.0818,                 1.1661,                 1.0919,                0.35261,                 0.3321,                0.30388,                0.18971,                 1.1303,                 1.1572,                 1.1149,             0.00067375,             0.00067375,             0.00067375
