                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00604,                 7.5838,                 1.5278,                0.73229,                0.52471,                0.59471,                0.32001,                0.00531,                 5.6444,                 1.1993,             0.00017595,             0.00017595,             0.00017595
                      2,                0.00563,                 6.6772,                 1.3412,                0.65781,                0.57061,                0.60844,                0.32136,                0.00591,                 6.3485,                  1.234,             0.00035159,             0.00035159,             0.00035159
                      3,                0.00573,                 7.1217,                  1.371,                0.66725,                0.60142,                0.63738,                0.35008,                0.00569,                 5.5396,                 1.2362,             0.00052436,             0.00052436,             0.00052436
                      4,                0.00541,                 6.5926,                 1.3171,                0.64332,                0.56751,                0.60878,                0.32772,                0.00585,                 5.8059,                 1.2379,             0.00069425,             0.00069425,             0.00069425
                      5,                0.00573,                 7.3414,                 1.3506,                0.63687,                0.58637,                 0.6109,                0.32895,                0.00586,                 5.7307,                 1.2686,             0.00069099,             0.00069099,             0.00069099
                      6,                 0.0057,                  7.172,                 1.3476,                0.65265,                0.57728,                0.61408,                0.31737,                0.00608,                   5.88,                 1.2658,             0.00068524,             0.00068524,             0.00068524
                      7,                 0.0054,                 6.5302,                 1.3126,                 0.6731,                 0.5675,                0.62482,                0.34343,                0.00574,                 5.5045,                 1.2407,             0.00067948,             0.00067948,             0.00067948
                      8,                0.00567,                 7.1666,                 1.3799,                0.59012,                0.57156,                0.57994,                0.29931,                0.00618,                 6.4761,                 1.3164,             0.00067373,             0.00067373,             0.00067373
                      9,                 0.0055,                 6.8261,                 1.3101,                0.67511,                0.50535,                 0.5696,                0.30819,                0.00585,                 7.2278,                 1.2728,             0.00066798,             0.00066798,             0.00066798
                     10,                0.00559,                 6.7644,                 1.3185,                0.71907,                0.56168,                0.62644,                0.33701,                0.00578,                 5.6146,                 1.2789,             0.00066222,             0.00066222,             0.00066222
                     11,                0.00542,                 6.6126,                 1.3107,                0.62781,                0.59456,                0.62268,                0.31827,                 0.0061,                 5.7921,                 1.2862,             0.00065647,             0.00065647,             0.00065647
                     12,                0.00544,                 6.6533,                 1.2967,                0.64097,                0.58672,                0.61889,                0.31421,                0.00628,                   5.72,                 1.3093,             0.00065072,             0.00065072,             0.00065072
                     13,                0.00528,                 6.5739,                 1.2912,                0.68814,                0.52725,                0.57487,                0.29467,                0.00612,                 6.2953,                 1.2838,             0.00064497,             0.00064497,             0.00064497
                     14,                0.00542,                  6.421,                  1.258,                0.65652,                0.56356,                0.61165,                 0.3142,                0.00607,                 5.8196,                 1.2839,             0.00063921,             0.00063921,             0.00063921
                     15,                0.00547,                 6.6506,                 1.3172,                0.67479,                0.59737,                0.63446,                0.32741,                0.00604,                   5.58,                 1.2821,             0.00063346,             0.00063346,             0.00063346
                     16,                0.00553,                 6.6409,                 1.3113,                0.62979,                0.59181,                0.60387,                0.31093,                0.00603,                 6.1273,                  1.283,             0.00062771,             0.00062771,             0.00062771
                     17,                0.00514,                 5.7361,                 1.2559,                0.69233,                0.55388,                0.61927,                 0.3228,                0.00607,                 5.9263,                 1.3058,             0.00062195,             0.00062195,             0.00062195
                     18,                0.00544,                 6.3807,                 1.2724,                0.73268,                0.53996,                0.61739,                0.32129,                0.00602,                 5.7207,                 1.2786,              0.0006162,              0.0006162,              0.0006162
                     19,                0.00555,                  6.875,                 1.2993,                 0.6863,                0.55787,                0.61356,                0.32123,                0.00599,                 6.1835,                 1.2719,             0.00061045,             0.00061045,             0.00061045
                     20,                0.00544,                 6.3922,                 1.3183,                0.62799,                0.58867,                0.61886,                 0.3138,                0.00616,                 5.7432,                 1.2807,              0.0006047,              0.0006047,              0.0006047
                     21,                0.00529,                  6.108,                 1.2663,                0.68422,                0.58135,                0.63558,                0.33729,                0.00581,                 5.6505,                 1.2441,             0.00059894,             0.00059894,             0.00059894
                     22,                0.00536,                 6.2003,                 1.2678,                0.65972,                0.60933,                0.63479,                  0.323,                0.00606,                 5.5623,                 1.2819,             0.00059319,             0.00059319,             0.00059319
                     23,                0.00538,                 6.4461,                 1.2694,                0.66239,                0.57646,                 0.6267,                0.32991,                0.00602,                 5.6513,                 1.2973,             0.00058744,             0.00058744,             0.00058744
                     24,                0.00532,                 6.1435,                 1.2719,                0.65332,                0.60922,                0.62435,                0.31678,                0.00616,                 5.6439,                 1.3207,             0.00058168,             0.00058168,             0.00058168
                     25,                0.00544,                 6.0887,                 1.2794,                0.66326,                0.55347,                0.59847,                0.31543,                0.00597,                 5.9197,                 1.2827,             0.00057593,             0.00057593,             0.00057593
                     26,                0.00532,                 5.8903,                 1.2676,                0.66138,                0.60308,                0.62781,                0.33715,                0.00578,                 5.4962,                 1.2527,             0.00057018,             0.00057018,             0.00057018
                     27,                0.00527,                  6.318,                 1.2814,                 0.6653,                0.58845,                 0.6436,                0.33976,                0.00581,                 5.4535,                 1.2582,             0.00056443,             0.00056443,             0.00056443
                     28,                0.00524,                 5.8825,                 1.2923,                0.70897,                0.54963,                0.62718,                0.32742,                0.00586,                 5.7253,                 1.2617,             0.00055867,             0.00055867,             0.00055867
