                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02111,                 16.596,                 1.6459,                0.67538,                0.57421,                0.59253,                0.35727,                0.01397,                 7.1012,                  1.118,             0.00033744,             0.00033744,             0.00033744
                      2,                0.01886,                  12.69,                 1.4055,                0.63929,                 0.5508,                0.57106,                 0.3406,                0.01518,                 7.8375,                  1.147,             0.00067305,             0.00067305,             0.00067305
                      3,                0.01787,                 11.644,                 1.4092,                0.62815,                  0.572,                0.59208,                0.34574,                0.01556,                 7.3641,                 1.1687,             0.00069989,             0.00069989,             0.00069989
                      4,                0.01889,                 11.816,                  1.426,                0.63438,                0.50405,                0.55287,                0.32351,                0.01592,                 8.2221,                 1.1877,             0.00069283,             0.00069283,             0.00069283
                      5,                0.01749,                 11.858,                  1.331,                0.59822,                0.45808,                0.48728,                0.27353,                0.01718,                 10.182,                 1.2367,             0.00068578,             0.00068578,             0.00068578
                      6,                0.01819,                 11.212,                 1.3561,                0.60257,                0.56275,                0.55467,                 0.3187,                0.01666,                 8.6068,                  1.218,             0.00067872,             0.00067872,             0.00067872
                      7,                0.01778,                  10.53,                 1.3544,                0.63626,                0.52059,                0.55254,                0.31569,                0.01643,                 8.4756,                 1.1952,             0.00067166,             0.00067166,             0.00067166
                      8,                0.01781,                 10.463,                  1.342,                0.65122,                0.56573,                0.59504,                0.35192,                0.01575,                 7.4966,                 1.1728,             0.00066461,             0.00066461,             0.00066461
                      9,                0.01749,                 10.687,                  1.343,                0.59372,                0.54665,                0.57668,                0.34212,                0.01627,                 7.4412,                 1.1823,             0.00065755,             0.00065755,             0.00065755
                     10,                 0.0183,                 11.505,                 1.3692,                0.61329,                0.51897,                0.54339,                0.31127,                 0.0166,                 7.9987,                 1.2043,              0.0006505,              0.0006505,              0.0006505
                     11,                0.01729,                 9.8507,                 1.3118,                0.66723,                0.50868,                0.56417,                0.30985,                0.01716,                 7.5751,                 1.2006,             0.00064344,             0.00064344,             0.00064344
                     12,                 0.0176,                 10.047,                 1.3377,                0.58983,                 0.5379,                0.52862,                0.29602,                0.01671,                 8.0425,                 1.1951,             0.00063638,             0.00063638,             0.00063638
                     13,                0.01777,                 10.467,                 1.3842,                0.63333,                0.52064,                0.55284,                0.31759,                0.01662,                 7.9938,                 1.1994,             0.00062933,             0.00062933,             0.00062933
                     14,                0.01718,                 10.342,                 1.3333,                0.61896,                0.57055,                0.57593,                0.34798,                0.01524,                 7.6808,                 1.1568,             0.00062227,             0.00062227,             0.00062227
                     15,                0.01633,                 9.5915,                  1.297,                0.65574,                0.55879,                0.59148,                0.35492,                0.01558,                 7.0678,                 1.1667,             0.00061522,             0.00061522,             0.00061522
                     16,                0.01756,                 10.082,                 1.3306,                0.63189,                0.52616,                 0.5453,                0.30769,                0.01668,                 7.5912,                 1.1993,             0.00060816,             0.00060816,             0.00060816
                     17,                0.01708,                 9.2563,                 1.2617,                0.66694,                 0.5383,                0.57874,                0.33639,                 0.0162,                 7.4105,                 1.1706,             0.00060111,             0.00060111,             0.00060111
                     18,                0.01796,                 10.848,                 1.3284,                0.63836,                0.56937,                0.59674,                0.34298,                 0.0163,                 7.3158,                 1.1786,             0.00059405,             0.00059405,             0.00059405
                     19,                0.01691,                 9.0504,                 1.2788,                0.60369,                0.55446,                0.58398,                0.33115,                0.01625,                 7.3023,                 1.1827,             0.00058699,             0.00058699,             0.00058699
                     20,                0.01744,                 11.451,                 1.3909,                0.61918,                0.55194,                0.58358,                0.34154,                 0.0155,                  7.504,                 1.1612,             0.00057994,             0.00057994,             0.00057994
                     21,                0.01708,                 9.8494,                 1.2705,                0.67181,                0.54606,                0.61355,                0.35336,                0.01577,                 7.1767,                 1.1673,             0.00057288,             0.00057288,             0.00057288
                     22,                0.01715,                 9.5175,                 1.3077,                0.61698,                0.57487,                0.59421,                0.35049,                0.01569,                 7.0628,                 1.1599,             0.00056583,             0.00056583,             0.00056583
                     23,                 0.0167,                 9.2831,                 1.2881,                0.67369,                0.54776,                0.62038,                0.35429,                0.01603,                  7.048,                 1.1683,             0.00055877,             0.00055877,             0.00055877
                     24,                0.01684,                 9.2687,                 1.2955,                0.65982,                0.59509,                0.62141,                0.34603,                0.01658,                 7.2416,                 1.1951,             0.00055171,             0.00055171,             0.00055171
                     25,                0.01679,                 9.2859,                  1.259,                0.64567,                0.51803,                0.58618,                 0.3322,                0.01625,                 7.6151,                  1.188,             0.00054466,             0.00054466,             0.00054466
                     26,                0.01576,                 8.5852,                  1.249,                0.66234,                0.55684,                0.60334,                0.33907,                0.01703,                 7.3529,                 1.2103,              0.0005376,              0.0005376,              0.0005376
                     27,                0.01701,                 9.4854,                 1.2866,                0.70014,                0.55673,                0.61768,                0.35646,                 0.0151,                 6.9583,                 1.1395,             0.00053055,             0.00053055,             0.00053055
                     28,                0.01656,                 9.6334,                   1.28,                0.61801,                0.59676,                0.60011,                0.34528,                0.01555,                 7.2046,                 1.1592,             0.00052349,             0.00052349,             0.00052349
                     29,                0.01621,                 8.7516,                 1.2694,                0.65207,                0.55206,                0.59117,                0.33745,                0.01574,                 7.4872,                  1.155,             0.00051643,             0.00051643,             0.00051643
                     30,                 0.0166,                 8.8229,                 1.3267,                0.63141,                0.56038,                 0.5966,                0.35189,                0.01539,                 7.0495,                 1.1476,             0.00050938,             0.00050938,             0.00050938
                     31,                0.01731,                 9.2253,                 1.3008,                0.66554,                0.53091,                 0.5858,                0.33496,                 0.0165,                 7.6772,                 1.1834,             0.00050232,             0.00050232,             0.00050232
                     32,                0.01598,                 8.5179,                 1.2448,                 0.6613,                0.55093,                0.59405,                0.34064,                0.01601,                 7.3133,                 1.1593,             0.00049527,             0.00049527,             0.00049527
                     33,                0.01696,                 9.3336,                  1.327,                0.66884,                0.56203,                0.61206,                0.35777,                0.01574,                 7.0113,                 1.1554,             0.00048821,             0.00048821,             0.00048821
                     34,                0.01818,                 9.8668,                  1.332,                0.67171,                0.55782,                0.61003,                0.35247,                0.01605,                 7.1905,                 1.1632,             0.00048115,             0.00048115,             0.00048115
                     35,                0.01697,                 9.2515,                 1.2664,                 0.6714,                 0.5472,                0.60349,                0.34213,                0.01635,                 6.8998,                 1.1796,              0.0004741,              0.0004741,              0.0004741
                     36,                0.01643,                 8.8005,                 1.2448,                0.61792,                0.57432,                0.61259,                0.36045,                0.01544,                 6.9207,                 1.1533,             0.00046704,             0.00046704,             0.00046704
                     37,                0.01585,                 7.9739,                 1.2046,                0.60584,                0.59181,                0.60716,                0.35599,                0.01546,                 6.9381,                 1.1584,             0.00045999,             0.00045999,             0.00045999
                     38,                0.01626,                 8.8462,                 1.2247,                0.66677,                0.57421,                0.61326,                 0.3561,                0.01585,                 6.8873,                 1.1625,             0.00045293,             0.00045293,             0.00045293
                     39,                0.01706,                 9.5966,                 1.2944,                0.67548,                0.56031,                0.60211,                0.34343,                0.01705,                  7.904,                 1.2394,             0.00044588,             0.00044588,             0.00044588
                     40,                0.01715,                 9.6722,                 1.3172,                0.71537,                0.55496,                0.63015,                0.35483,                0.01672,                 6.9282,                 1.1988,             0.00043882,             0.00043882,             0.00043882
                     41,                0.01584,                 8.6794,                 1.2563,                0.69571,                0.57354,                0.62271,                 0.3631,                0.01647,                 6.9207,                 1.1859,             0.00043176,             0.00043176,             0.00043176
                     42,                0.01563,                 8.6243,                 1.2584,                0.57239,                0.60308,                0.58159,                 0.3348,                0.01616,                 7.1103,                 1.1666,             0.00042471,             0.00042471,             0.00042471
                     43,                 0.0172,                 8.4044,                  1.293,                0.67629,                0.57859,                0.61325,                0.35786,                0.01613,                  7.124,                 1.1757,             0.00041765,             0.00041765,             0.00041765
                     44,                0.01554,                 7.6828,                 1.2225,                0.68342,                0.54706,                0.61883,                0.35558,                0.01636,                 6.9289,                 1.1879,              0.0004106,              0.0004106,              0.0004106
                     45,                0.01691,                 8.5328,                  1.266,                0.70029,                0.55153,                0.62335,                0.35739,                0.01655,                  6.989,                 1.1805,             0.00040354,             0.00040354,             0.00040354
                     46,                0.01616,                 8.6317,                 1.2529,                0.68982,                0.57367,                0.63545,                0.37251,                0.01621,                 6.7257,                 1.1788,             0.00039648,             0.00039648,             0.00039648
                     47,                0.01518,                 8.3275,                 1.2417,                0.68717,                0.55708,                0.61593,                0.36331,                0.01586,                 6.9295,                 1.1646,             0.00038943,             0.00038943,             0.00038943
                     48,                0.01665,                 9.3306,                 1.2608,                0.68638,                0.55524,                0.61976,                0.35667,                0.01623,                 6.9837,                 1.1829,             0.00038237,             0.00038237,             0.00038237
                     49,                0.01594,                 7.9697,                  1.217,                0.63992,                0.60465,                0.63185,                  0.363,                0.01628,                 7.0954,                 1.1801,             0.00037532,             0.00037532,             0.00037532
                     50,                0.01566,                  7.987,                 1.2562,                0.71384,                0.58624,                0.62744,                0.36633,                0.01644,                 6.8988,                 1.1974,             0.00036826,             0.00036826,             0.00036826
                     51,                0.01557,                 8.1758,                 1.2412,                0.65249,                0.58795,                0.61227,                0.35698,                0.01637,                 7.2105,                 1.1937,              0.0003612,              0.0003612,              0.0003612
                     52,                0.01633,                 8.3265,                  1.275,                0.62251,                0.61699,                0.62516,                0.35581,                  0.017,                 7.0285,                 1.2154,             0.00035415,             0.00035415,             0.00035415
                     53,                 0.0152,                 7.4785,                 1.1921,                0.68386,                0.59249,                0.63234,                0.36973,                0.01611,                 6.7287,                 1.1771,             0.00034709,             0.00034709,             0.00034709
                     54,                0.01564,                 8.4207,                 1.2592,                0.63837,                 0.5864,                0.61291,                0.35437,                0.01608,                  6.934,                 1.1729,             0.00034004,             0.00034004,             0.00034004
                     55,                0.01505,                 7.6696,                    1.2,                0.66731,                0.58958,                0.62808,                0.36929,                0.01588,                 6.8223,                 1.1632,             0.00033298,             0.00033298,             0.00033298
                     56,                0.01616,                 8.6248,                 1.2364,                0.71673,                0.56104,                0.63428,                0.37953,                0.01516,                 6.7393,                 1.1311,             0.00032592,             0.00032592,             0.00032592
                     57,                0.01659,                  8.382,                 1.2475,                0.68592,                0.58998,                0.62535,                0.35478,                0.01679,                 6.9779,                 1.1947,             0.00031887,             0.00031887,             0.00031887
